topic,pmid,human
CD010775,10491776,0
CD010775,10491777,0
CD010775,10503898,0
CD010775,10620301,0
CD010775,10635339,0
CD010775,10964565,0
CD010775,11159734,0
CD010775,11274120,0
CD010775,1146681,0
CD010775,11796831,0
CD010775,11814229,0
CD010775,11850974,0
CD010775,11889096,0
CD010775,12093789,0
CD010775,12154086,0
CD010775,12194333,0
CD010775,12793731,0
CD010775,12799051,0
CD010775,13009750,0
CD010775,1305676,0
CD010775,1352119,0
CD010775,14390462,0
CD010775,15016823,0
CD010775,15036644,0
CD010775,15152330,0
CD010775,15358154,0
CD010775,1540933,0
CD010775,16461673,0
CD010775,16621764,0
CD010775,16690349,0
CD010775,16815085,0
CD010775,16906761,0
CD010775,1703404,0
CD010775,17260164,0
CD010775,17328916,0
CD010775,17351268,0
CD010775,18008389,0
CD010775,18044697,0
CD010775,18335256,0
CD010775,18346324,0
CD010775,18381646,0
CD010775,18498244,0
CD010775,18539485,0
CD010775,18716063,0
CD010775,18832083,0
CD010775,18953846,0
CD010775,19005124,0
CD010775,19170786,0
CD010775,19260980,0
CD010775,19307324,0
CD010775,19477197,0
CD010775,19542235,0
CD010775,19582756,0
CD010775,19582760,0
CD010775,19596027,0
CD010775,19672065,0
CD010775,19772593,0
CD010775,19803633,0
CD010775,19831129,0
CD010775,19933974,0
CD010775,20055242,0
CD010775,20108371,0
CD010775,20174637,0
CD010775,2019352,0
CD010775,20310038,0
CD010775,20354031,0
CD010775,20378863,0
CD010775,20437313,0
CD010775,20437940,0
CD010775,20510065,0
CD010775,20615057,0
CD010775,20689285,0
CD010775,20714236,0
CD010775,20721924,0
CD010775,20808118,0
CD010775,20822854,0
CD010775,20878991,0
CD010775,20884013,0
CD010775,20971862,0
CD010775,21060094,0
CD010775,21154110,0
CD010775,21156989,0
CD010775,21157857,0
CD010775,21163106,0
CD010775,21281555,0
CD010775,21282950,0
CD010775,21310371,0
CD010775,21340519,0
CD010775,21389719,0
CD010775,21395965,0
CD010775,21435882,0
CD010775,21449172,0
CD010775,21457610,0
CD010775,21473712,0
CD010775,21507144,0
CD010775,21520004,0
CD010775,21530727,0
CD010775,21560886,0
CD010775,21624996,0
CD010775,21676920,0
CD010775,21679070,0
CD010775,21734182,0
CD010775,21757673,0
CD010775,21757908,0
CD010775,21801472,0
CD010775,21807379,0
CD010775,21903955,0
CD010775,21940955,0
CD010775,21943640,0
CD010775,21945986,0
CD010775,21969707,0
CD010775,21972616,0
CD010775,2200958,0
CD010775,22011410,0
CD010775,22014176,1
CD010775,22018763,0
CD010775,22056842,0
CD010775,22082082,0
CD010775,22115042,0
CD010775,22115097,0
CD010775,22156700,0
CD010775,22193539,0
CD010775,22258041,0
CD010775,22277128,0
CD010775,22280947,0
CD010775,22284322,0
CD010775,22298886,0
CD010775,22333102,0
CD010775,22342204,0
CD010775,22353375,0
CD010775,22391608,0
CD010775,22443246,0
CD010775,22443860,0
CD010775,22483886,0
CD010775,22490733,0
CD010775,22490734,0
CD010775,22490832,0
CD010775,22496580,0
CD010775,22522445,0
CD010775,2253519,0
CD010775,22592061,0
CD010775,22649062,0
CD010775,22701557,0
CD010775,22704263,0
CD010775,22728859,0
CD010775,22838258,0
CD010775,22840457,0
CD010775,2318352,0
CD010775,2494442,0
CD010775,2618080,0
CD010775,2908851,0
CD010775,2914011,0
CD010775,2995481,0
CD010775,3019503,0
CD010775,3066010,0
CD010775,3365833,0
CD010775,350397,0
CD010775,3550964,0
CD010775,3886557,0
CD010775,5149396,0
CD010775,5920498,0
CD010775,600722,0
CD010775,6254424,0
CD010775,645556,0
CD010775,685830,0
CD010775,722185,0
CD010775,7265299,0
CD010775,7327667,0
CD010775,7332716,0
CD010775,7540787,0
CD010775,7595928,0
CD010775,7768814,0
CD010775,8207861,0
CD010775,8319617,0
CD010775,8397185,0
CD010775,8420614,0
CD010775,8625501,0
CD010775,8655509,0
CD010775,8729654,0
CD010775,8738022,0
CD010775,8749062,0
CD010775,8812257,0
CD010775,9043931,0
CD010775,9101589,0
CD010775,9135137,0
CD010775,9498898,0
CD010775,9503288,0
CD010775,9585478,0
CD010775,9626971,0
CD010775,9704822,0
CD010775,9805393,0
