topic,pmid,human,stratum,N_stratum,n_sampled,weight,pool_size
CD007431,3449306,1,eligible,24,24,1.0,2074
CD007431,4260586,1,eligible,24,24,1.0,2074
CD007431,4651047,1,eligible,24,24,1.0,2074
CD007431,14595165,1,eligible,24,24,1.0,2074
CD007431,11971050,1,eligible,24,24,1.0,2074
CD007431,1579873,1,eligible,24,24,1.0,2074
CD007431,3571310,1,eligible,24,24,1.0,2074
CD007431,10463018,1,eligible,24,24,1.0,2074
CD007431,18391677,1,eligible,24,24,1.0,2074
CD007431,11931063,1,eligible,24,24,1.0,2074
CD007431,2968667,1,eligible,24,24,1.0,2074
CD007431,8981896,1,eligible,24,24,1.0,2074
CD007431,11312387,1,eligible,24,24,1.0,2074
CD007431,15387493,1,eligible,24,24,1.0,2074
CD007431,8029743,1,eligible,24,24,1.0,2074
CD007431,3983706,1,eligible,24,24,1.0,2074
CD007431,4516334,1,eligible,24,24,1.0,2074
CD007431,9877135,1,eligible,24,24,1.0,2074
CD007431,10212604,1,eligible,24,24,1.0,2074
CD007431,3346682,1,eligible,24,24,1.0,2074
CD007431,6238507,1,eligible,24,24,1.0,2074
CD007431,3406846,1,eligible,24,24,1.0,2074
CD007431,8686523,1,eligible,24,24,1.0,2074
CD007431,4281427,1,eligible,24,24,1.0,2074
CD007431,161013,0,non_eligible,2050,100,20.5,2074
CD007431,2143092,0,non_eligible,2050,100,20.5,2074
CD007431,10547954,0,non_eligible,2050,100,20.5,2074
CD007431,12461402,0,non_eligible,2050,100,20.5,2074
CD007431,15906040,0,non_eligible,2050,100,20.5,2074
CD007431,8783418,0,non_eligible,2050,100,20.5,2074
CD007431,4378189,0,non_eligible,2050,100,20.5,2074
CD007431,12923468,0,non_eligible,2050,100,20.5,2074
CD007431,155872,0,non_eligible,2050,100,20.5,2074
CD007431,11145818,0,non_eligible,2050,100,20.5,2074
CD007431,11803753,0,non_eligible,2050,100,20.5,2074
CD007431,12589616,0,non_eligible,2050,100,20.5,2074
CD007431,2273409,0,non_eligible,2050,100,20.5,2074
CD007431,8087707,0,non_eligible,2050,100,20.5,2074
CD007431,10457583,0,non_eligible,2050,100,20.5,2074
CD007431,343479,0,non_eligible,2050,100,20.5,2074
CD007431,2336978,0,non_eligible,2050,100,20.5,2074
CD007431,12699367,0,non_eligible,2050,100,20.5,2074
CD007431,15830985,0,non_eligible,2050,100,20.5,2074
CD007431,17224806,0,non_eligible,2050,100,20.5,2074
CD007431,1270487,0,non_eligible,2050,100,20.5,2074
CD007431,16568145,0,non_eligible,2050,100,20.5,2074
CD007431,18071934,0,non_eligible,2050,100,20.5,2074
CD007431,2275302,0,non_eligible,2050,100,20.5,2074
CD007431,10752099,0,non_eligible,2050,100,20.5,2074
CD007431,9076888,0,non_eligible,2050,100,20.5,2074
CD007431,6222717,0,non_eligible,2050,100,20.5,2074
CD007431,8611331,0,non_eligible,2050,100,20.5,2074
CD007431,15818717,0,non_eligible,2050,100,20.5,2074
CD007431,7432589,0,non_eligible,2050,100,20.5,2074
CD007431,14661141,0,non_eligible,2050,100,20.5,2074
CD007431,9484094,0,non_eligible,2050,100,20.5,2074
CD007431,9520891,0,non_eligible,2050,100,20.5,2074
CD007431,6251391,0,non_eligible,2050,100,20.5,2074
CD007431,9795811,0,non_eligible,2050,100,20.5,2074
CD007431,8434243,0,non_eligible,2050,100,20.5,2074
CD007431,8179113,0,non_eligible,2050,100,20.5,2074
CD007431,15644770,0,non_eligible,2050,100,20.5,2074
CD007431,15144684,0,non_eligible,2050,100,20.5,2074
CD007431,1839154,0,non_eligible,2050,100,20.5,2074
CD007431,9460155,0,non_eligible,2050,100,20.5,2074
CD007431,11698889,0,non_eligible,2050,100,20.5,2074
CD007431,12394665,0,non_eligible,2050,100,20.5,2074
CD007431,10515016,0,non_eligible,2050,100,20.5,2074
CD007431,8277752,0,non_eligible,2050,100,20.5,2074
