topic,pmid,human,stratum,N_stratum,n_sampled,weight,pool_size,lab_openai
CD007431,3449306,1,eligible,24,24,1.0,2074,3
CD007431,4260586,1,eligible,24,24,1.0,2074,1
CD007431,4651047,1,eligible,24,24,1.0,2074,1
CD007431,14595165,1,eligible,24,24,1.0,2074,2
CD007431,11971050,1,eligible,24,24,1.0,2074,3
CD007431,1579873,1,eligible,24,24,1.0,2074,2
CD007431,3571310,1,eligible,24,24,1.0,2074,3
CD007431,10463018,1,eligible,24,24,1.0,2074,3
CD007431,18391677,1,eligible,24,24,1.0,2074,3
CD007431,11931063,1,eligible,24,24,1.0,2074,1
CD007431,2968667,1,eligible,24,24,1.0,2074,1
CD007431,8981896,1,eligible,24,24,1.0,2074,2
CD007431,11312387,1,eligible,24,24,1.0,2074,3
CD007431,15387493,1,eligible,24,24,1.0,2074,2
CD007431,8029743,1,eligible,24,24,1.0,2074,3
CD007431,3983706,1,eligible,24,24,1.0,2074,2
CD007431,4516334,1,eligible,24,24,1.0,2074,0
CD007431,9877135,1,eligible,24,24,1.0,2074,1
CD007431,10212604,1,eligible,24,24,1.0,2074,2
CD007431,3346682,1,eligible,24,24,1.0,2074,2
CD007431,6238507,1,eligible,24,24,1.0,2074,2
CD007431,3406846,1,eligible,24,24,1.0,2074,3
CD007431,8686523,1,eligible,24,24,1.0,2074,2
CD007431,4281427,1,eligible,24,24,1.0,2074,2
CD007431,161013,0,non_eligible,2050,100,20.5,2074,0
CD007431,4378189,0,non_eligible,2050,100,20.5,2074,0
CD007431,12923468,0,non_eligible,2050,100,20.5,2074,1
CD007431,11145818,0,non_eligible,2050,100,20.5,2074,1
CD007431,11803753,0,non_eligible,2050,100,20.5,2074,0
CD007431,2273409,0,non_eligible,2050,100,20.5,2074,0
CD007431,343479,0,non_eligible,2050,100,20.5,2074,1
CD007431,2336978,0,non_eligible,2050,100,20.5,2074,1
CD007431,1270487,0,non_eligible,2050,100,20.5,2074,0
CD007431,16568145,0,non_eligible,2050,100,20.5,2074,0
CD007431,18071934,0,non_eligible,2050,100,20.5,2074,0
CD007431,10752099,0,non_eligible,2050,100,20.5,2074,1
CD007431,6222717,0,non_eligible,2050,100,20.5,2074,1
CD007431,14661141,0,non_eligible,2050,100,20.5,2074,0
CD007431,8434243,0,non_eligible,2050,100,20.5,2074,2
CD007431,1839154,0,non_eligible,2050,100,20.5,2074,1
CD007431,10515016,0,non_eligible,2050,100,20.5,2074,1
CD007431,12163718,0,non_eligible,2050,100,20.5,2074,1
CD007431,377120,0,non_eligible,2050,100,20.5,2074,1
CD007431,12592544,0,non_eligible,2050,100,20.5,2074,1
CD007431,6867860,0,non_eligible,2050,100,20.5,2074,1
CD007431,4417652,0,non_eligible,2050,100,20.5,2074,0
CD007431,163892,0,non_eligible,2050,100,20.5,2074,0
CD007431,15039249,0,non_eligible,2050,100,20.5,2074,1
CD007431,3561740,0,non_eligible,2050,100,20.5,2074,1
CD007431,162546,0,non_eligible,2050,100,20.5,2074,1
CD007431,1533326,0,non_eligible,2050,100,20.5,2074,2
CD007431,6410731,0,non_eligible,2050,100,20.5,2074,0
CD007431,16768220,0,non_eligible,2050,100,20.5,2074,1
CD007431,6497609,0,non_eligible,2050,100,20.5,2074,0
CD007431,17023848,0,non_eligible,2050,100,20.5,2074,1
CD007431,7845508,0,non_eligible,2050,100,20.5,2074,0
CD007431,8988083,0,non_eligible,2050,100,20.5,2074,0
CD007431,15996606,0,non_eligible,2050,100,20.5,2074,1
CD007431,2138156,0,non_eligible,2050,100,20.5,2074,1
CD007431,7638662,0,non_eligible,2050,100,20.5,2074,1
CD007431,2384506,0,non_eligible,2050,100,20.5,2074,1
CD007431,8047356,0,non_eligible,2050,100,20.5,2074,1
CD007431,10815135,0,non_eligible,2050,100,20.5,2074,0
CD007431,11372956,0,non_eligible,2050,100,20.5,2074,0
CD008081,21996307,1,eligible,26,26,1.0,970,3
CD008081,9479300,1,eligible,26,26,1.0,970,3
CD008081,17502499,1,eligible,26,26,1.0,970,3
CD008081,18316700,1,eligible,26,26,1.0,970,3
CD008081,17063373,1,eligible,26,26,1.0,970,3
CD008081,20451897,1,eligible,26,26,1.0,970,3
CD008081,20484587,1,eligible,26,26,1.0,970,2
CD008081,11401636,1,eligible,26,26,1.0,970,3
CD008081,15802932,1,eligible,26,26,1.0,970,3
CD008081,19996821,1,eligible,26,26,1.0,970,2
CD008081,22952119,1,eligible,26,26,1.0,970,2
CD008081,10896351,1,eligible,26,26,1.0,970,1
CD008081,15051203,1,eligible,26,26,1.0,970,3
CD008081,12476103,1,eligible,26,26,1.0,970,3
CD008081,22872201,1,eligible,26,26,1.0,970,3
CD008081,16647123,1,eligible,26,26,1.0,970,3
CD008081,20530184,1,eligible,26,26,1.0,970,3
CD008081,15006844,1,eligible,26,26,1.0,970,3
CD008081,16799051,1,eligible,26,26,1.0,970,2
CD008081,11773037,1,eligible,26,26,1.0,970,3
CD008081,22323463,1,eligible,26,26,1.0,970,3
CD008081,12510717,1,eligible,26,26,1.0,970,3
CD008081,22137207,1,eligible,26,26,1.0,970,3
CD008081,10372879,1,eligible,26,26,1.0,970,3
CD008081,16395139,1,eligible,26,26,1.0,970,3
CD008081,19118697,1,eligible,26,26,1.0,970,2
CD008081,17591904,0,non_eligible,944,100,9.44,970,2
CD008081,4041157,0,non_eligible,944,100,9.44,970,1
CD008081,17093998,0,non_eligible,944,100,9.44,970,2
CD008081,21376246,0,non_eligible,944,100,9.44,970,1
CD008081,22441027,0,non_eligible,944,100,9.44,970,2
CD008081,21283169,0,non_eligible,944,100,9.44,970,0
CD008081,19060271,0,non_eligible,944,100,9.44,970,2
CD008081,20703037,0,non_eligible,944,100,9.44,970,1
CD008081,23121699,0,non_eligible,944,100,9.44,970,1
CD008081,23111610,0,non_eligible,944,100,9.44,970,3
CD008081,15628644,0,non_eligible,944,100,9.44,970,2
CD008081,19568355,0,non_eligible,944,100,9.44,970,3
CD008081,19430285,0,non_eligible,944,100,9.44,970,1
CD008081,8738460,0,non_eligible,944,100,9.44,970,1
CD008081,11483079,0,non_eligible,944,100,9.44,970,2
CD008081,1951588,0,non_eligible,944,100,9.44,970,0
CD008081,20221984,0,non_eligible,944,100,9.44,970,2
CD008081,14733133,0,non_eligible,944,100,9.44,970,2
CD008081,21735421,0,non_eligible,944,100,9.44,970,3
CD008081,12507629,0,non_eligible,944,100,9.44,970,2
CD008081,20594160,0,non_eligible,944,100,9.44,970,2
CD008081,19373126,0,non_eligible,944,100,9.44,970,1
CD008081,16395132,0,non_eligible,944,100,9.44,970,2
CD008081,17803438,0,non_eligible,944,100,9.44,970,2
CD008081,2624726,0,non_eligible,944,100,9.44,970,1
CD008081,11133709,0,non_eligible,944,100,9.44,970,1
CD008081,21647567,0,non_eligible,944,100,9.44,970,2
CD008081,22550713,0,non_eligible,944,100,9.44,970,2
CD008081,23470789,0,non_eligible,944,100,9.44,970,3
CD008081,18097816,0,non_eligible,944,100,9.44,970,2
CD008081,20465107,0,non_eligible,944,100,9.44,970,3
CD008081,15465570,0,non_eligible,944,100,9.44,970,1
CD008081,14669032,0,non_eligible,944,100,9.44,970,1
CD008081,18756796,0,non_eligible,944,100,9.44,970,3
CD008081,19019945,0,non_eligible,944,100,9.44,970,1
CD008081,20597042,0,non_eligible,944,100,9.44,970,1
CD008081,23793175,0,non_eligible,944,100,9.44,970,1
CD008081,17180527,0,non_eligible,944,100,9.44,970,1
CD008081,15687920,0,non_eligible,944,100,9.44,970,2
CD008081,22495998,0,non_eligible,944,100,9.44,970,1
CD008760,18082473,1,eligible,12,12,1.0,64,3
CD008760,18058656,1,eligible,12,12,1.0,64,1
CD008760,19337246,1,eligible,12,12,1.0,64,3
CD008760,20490679,1,eligible,12,12,1.0,64,3
CD008760,22155754,1,eligible,12,12,1.0,64,3
CD008760,20363433,1,eligible,12,12,1.0,64,2
CD008760,16429352,1,eligible,12,12,1.0,64,3
CD008760,18680226,1,eligible,12,12,1.0,64,3
CD008760,15842580,1,eligible,12,12,1.0,64,3
CD008760,16429353,1,eligible,12,12,1.0,64,3
CD008760,18435461,1,eligible,12,12,1.0,64,3
CD008760,21814064,1,eligible,12,12,1.0,64,3
CD008760,23029720,0,non_eligible,52,52,1.0,64,1
CD008760,19646642,0,non_eligible,52,52,1.0,64,0
CD008760,19679416,0,non_eligible,52,52,1.0,64,2
CD008760,14618949,0,non_eligible,52,52,1.0,64,1
CD008760,18277884,0,non_eligible,52,52,1.0,64,2
CD008760,16435503,0,non_eligible,52,52,1.0,64,2
CD008760,21274889,0,non_eligible,52,52,1.0,64,2
CD008760,17905009,0,non_eligible,52,52,1.0,64,2
CD008760,19673028,0,non_eligible,52,52,1.0,64,0
CD008760,18227890,0,non_eligible,52,52,1.0,64,1
