topic,pmid,human
CD007431,1001206,0
CD007431,10024127,0
CD007431,10029752,0
CD007431,10065526,0
CD007431,10081559,0
CD007431,10084439,0
CD007431,10085392,0
CD007431,10101821,0
CD007431,10102732,0
CD007431,10150250,0
CD007431,10150569,0
CD007431,10150570,0
CD007431,10150642,0
CD007431,10155273,0
CD007431,10190857,0
CD007431,10199245,0
CD007431,10199248,0
CD007431,10201301,0
CD007431,10204736,0
CD007431,10207437,0
CD007431,10211494,0
CD007431,10212604,1
CD007431,10214570,0
CD007431,10214571,0
CD007431,10214573,0
CD007431,10219929,0
CD007431,10220713,0
CD007431,10222523,0
CD007431,10222532,0
CD007431,10222533,0
CD007431,10228885,0
CD007431,10230685,0
CD007431,1030453,0
CD007431,10333151,0
CD007431,10339776,0
CD007431,10339997,0
CD007431,10358834,0
CD007431,10366925,0
CD007431,10369992,0
CD007431,10380258,0
CD007431,10381039,0
CD007431,10382252,0
CD007431,10394282,0
CD007431,10398988,0
CD007431,10398990,0
CD007431,10404573,0
CD007431,10413345,0
CD007431,10416497,0
CD007431,10419368,0
CD007431,10422699,0
CD007431,10424012,0
CD007431,10424985,0
CD007431,10428125,0
CD007431,10428127,0
CD007431,10442447,0
CD007431,10457583,0
CD007431,10463018,1
CD007431,1048236,0
CD007431,10488503,0
CD007431,10505504,0
CD007431,10507101,0
CD007431,10511188,0
CD007431,10515016,0
CD007431,10523425,0
CD007431,10527084,0
CD007431,10528375,0
CD007431,10528382,0
CD007431,10534590,0
CD007431,10537383,0
CD007431,10543014,0
CD007431,10547007,0
CD007431,10547405,0
CD007431,10547954,0
CD007431,10549122,0
CD007431,10549698,0
CD007431,10552236,0
CD007431,10555507,0
CD007431,10555837,0
CD007431,10556409,0
CD007431,10591936,0
CD007431,10605469,0
CD007431,10616050,0
CD007431,10621926,0
CD007431,10626315,0
CD007431,10626337,0
CD007431,10627323,0
CD007431,10627937,0
CD007431,10631640,0
CD007431,10631642,0
CD007431,10647166,0
CD007431,10657162,0
CD007431,10664304,0
CD007431,10664306,0
CD007431,10666490,0
CD007431,10672297,0
CD007431,10678605,0
CD007431,10693256,0
CD007431,10696008,0
CD007431,10707388,0
CD007431,10707390,0
CD007431,10707394,0
CD007431,10707396,0
CD007431,10708995,0
CD007431,10714531,0
CD007431,10744186,0
CD007431,10746183,0
CD007431,10751294,0
CD007431,10751297,0
CD007431,10751300,0
CD007431,10751495,0
CD007431,10752099,0
CD007431,10758122,0
CD007431,10763681,0
CD007431,10763682,0
CD007431,10767802,0
CD007431,10770521,0
CD007431,10788855,0
CD007431,10794114,0
CD007431,10807096,0
CD007431,10815135,0
CD007431,10819259,0
CD007431,10823430,0
CD007431,10825111,0
CD007431,10828919,0
CD007431,10851097,0
CD007431,10851100,0
CD007431,10853164,0
CD007431,10863251,0
CD007431,10871142,0
CD007431,10877482,0
CD007431,10879757,0
CD007431,10879758,0
CD007431,10888941,0
CD007431,10888949,0
CD007431,10905437,0
CD007431,10905440,0
CD007431,10907596,0
CD007431,10929727,0
CD007431,10949527,0
CD007431,10973402,0
CD007431,10982659,0
CD007431,10992311,0
CD007431,1099642,0
CD007431,11008742,0
CD007431,11013494,0
CD007431,11013689,0
CD007431,11034644,0
CD007431,11034651,0
CD007431,11034886,0
CD007431,11039802,0
CD007431,11041196,0
CD007431,11048545,0
CD007431,11052353,0
CD007431,11052356,0
CD007431,11058625,0
CD007431,11060428,0
CD007431,11060432,0
CD007431,11064526,0
CD007431,11066214,0
CD007431,11082550,0
CD007431,11090775,0
CD007431,1110129,0
CD007431,11132978,0
CD007431,11132979,0
CD007431,11143913,0
CD007431,11145809,0
CD007431,11145818,0
CD007431,11154540,0
CD007431,11161156,0
CD007431,11166937,0
CD007431,11172504,0
CD007431,11180701,0
CD007431,11193500,0
CD007431,11224860,0
CD007431,11235781,0
CD007431,11239316,0
CD007431,11242398,0
CD007431,11243472,0
CD007431,11246381,0
CD007431,11246382,0
CD007431,11246394,0
CD007431,11247363,0
CD007431,11272089,0
CD007431,11284597,0
CD007431,11293373,0
CD007431,11293858,0
CD007431,11295889,0
CD007431,11295915,0
CD007431,11300129,0
CD007431,11302624,0
CD007431,11312387,1
CD007431,11320971,0
CD007431,11327554,0
CD007431,11337625,0
CD007431,11339781,0
CD007431,11350333,0
CD007431,11372956,0
CD007431,11379897,0
CD007431,11380118,0
CD007431,11383229,0
CD007431,11402506,0
CD007431,11413434,0
CD007431,11414780,0
CD007431,11415594,0
CD007431,1141925,0
CD007431,11425999,0
CD007431,11426153,0
CD007431,11430790,0
CD007431,11444993,0
CD007431,11453405,0
CD007431,11461055,0
CD007431,11472384,0
CD007431,11475727,0
CD007431,11481550,0
CD007431,11485360,0
CD007431,11493865,0
CD007431,11493866,0
CD007431,11500155,0
CD007431,11504108,0
CD007431,11513310,0
CD007431,11513340,0
CD007431,11525209,0
CD007431,11547199,0
CD007431,11547211,0
CD007431,11550835,0
CD007431,11552391,0
CD007431,11568190,0
CD007431,11568690,0
CD007431,11572192,0
CD007431,11598519,0
CD007431,11599754,0
CD007431,11599835,0
CD007431,1163311,0
CD007431,11676803,0
CD007431,11677547,0
CD007431,11679814,0
CD007431,11679824,0
CD007431,11680522,0
CD007431,11680857,0
CD007431,11698889,0
CD007431,11698891,0
CD007431,11701148,0
CD007431,11706675,0
CD007431,11707722,0
CD007431,11712494,0
CD007431,11719666,0
CD007431,11723402,0
CD007431,11725240,0
CD007431,11725243,0
CD007431,11727140,0
CD007431,11734957,0
CD007431,11753769,0
CD007431,11757277,0
CD007431,11759490,0
CD007431,11765540,0
CD007431,11782833,0
CD007431,11789245,0
CD007431,11792473,0
CD007431,11793146,0
CD007431,11793154,0
CD007431,11793155,0
CD007431,11793930,0
CD007431,11794270,0
CD007431,11795726,0
CD007431,11795752,0
CD007431,11803753,0
CD007431,11805628,0
CD007431,11805656,0
CD007431,11805659,0
CD007431,11812711,0
CD007431,11819133,0
CD007431,11825507,0
CD007431,11826646,0
CD007431,11840097,0
CD007431,11840104,0
CD007431,11841719,0
CD007431,11846904,0
CD007431,11884909,0
CD007431,11887877,0
CD007431,11888226,0
CD007431,11902355,0
CD007431,11914892,0
CD007431,11916889,0
CD007431,11925550,0
CD007431,11925644,0
