arm,se,sp,tolerance,p_star,n_countable,n_auxiliary,n_uninformative,hband_verdict,why
haiku_A,0.6412,0.9149,0.1,0.1564625850340135,2,20,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_A,0.6412,0.9149,0.2,0.1321633794067401,3,19,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_A,0.6412,0.9149,0.5,0.0901578557050534,4,18,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_A,0.6412,0.9149,1.0,0.0589375995567559,6,16,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_C,0.6017,0.9534,0.1,0.085520278950266,4,18,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_C,0.6017,0.9534,0.2,0.0722592650023259,5,17,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_C,0.6017,0.9534,0.5,0.049317388083395,9,13,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
haiku_C,0.6017,0.9534,1.0,0.0322513668766004,11,11,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_A,0.6153,0.9471,0.1,0.0984002976190475,3,19,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_A,0.6153,0.9471,0.2,0.0829673776662483,4,18,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_A,0.6153,0.9471,0.5,0.0564206484641637,8,14,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_A,0.6153,0.9471,1.0,0.0367974401780745,10,12,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_C,0.5573,0.9722,0.1,0.048729184925504,9,13,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_C,0.5573,0.9722,0.2,0.0414615958240119,10,12,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_C,0.5573,0.9722,0.5,0.0286450283359093,11,11,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
sonnet_C,0.5573,0.9722,1.0,0.0189051343080585,16,6,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_A,0.6609,0.9382,0.1,0.1233779197444599,3,19,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_A,0.6609,0.9382,0.2,0.1028457314028956,3,19,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_A,0.6609,0.9382,0.5,0.0685980685980685,6,16,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_A,0.6609,0.9382,1.0,0.0441144978228281,10,12,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_C,0.6202,0.9686,0.1,0.0614241001564944,6,16,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_C,0.6202,0.9686,0.2,0.0513743455497381,9,13,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_C,0.6202,0.9686,0.5,0.0344600526777875,11,11,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
opus_C,0.6202,0.9686,1.0,0.022250566893424,13,9,8,not assessed - H-BAND withdrawn untested,"Registered subject of this file is the H-BAND verdict recomputed over the arm x tolerance grid. H-BAND is WITHDRAWN as a registration defect and was never tested, so no verdict exists at any grid point. The band assignment itself is reported; the verdict column is 'not assessed', never a loss (reporting obligation 3)."
